iter	Passed	Remaining
0	7	7386
1	15	7721
2	21	7155
3	27	6901
4	34	6935
5	41	6825
6	49	7034
7	55	6912
8	62	6836
9	68	6778
10	74	6716
11	80	6641
12	87	6606
13	93	6581
14	99	6537
15	106	6550
16	112	6519
17	119	6532
18	126	6521
19	132	6503
20	139	6482
21	144	6445
22	151	6425
23	157	6424
24	164	6431
25	172	6444
26	177	6406
27	184	6400
28	191	6400
29	197	6377
30	204	6383
31	209	6352
32	216	6350
33	222	6330
34	228	6307
35	235	6301
36	241	6276
37	248	6284
38	254	6282
39	260	6255
40	267	6257
41	273	6248
42	280	6235
43	286	6235
44	293	6221
45	301	6244
46	307	6225
47	313	6223
48	320	6224
49	327	6216
50	333	6205
51	340	6201
52	346	6191
53	352	6179
54	359	6170
55	366	6179
56	373	6180
57	381	6188
58	388	6201
59	395	6195
60	402	6194
61	408	6187
62	416	6200
63	422	6183
64	428	6170
65	436	6177
66	445	6199
67	452	6207
68	459	6193
69	466	6192
70	472	6186
71	479	6176
72	485	6164
73	491	6147
74	498	6144
75	504	6132
76	510	6122
77	518	6123
78	523	6106
79	530	6098
80	536	6086
81	543	6082
82	550	6086
83	556	6069
84	564	6072
85	570	6064
86	577	6058
87	583	6050
88	590	6048
89	598	6046
90	604	6035
91	610	6023
92	616	6009
93	623	6013
94	630	6009
95	637	6003
96	644	5998
97	650	5988
98	656	5978
99	663	5968
100	670	5965
101	676	5956
102	683	5950
103	689	5939
104	695	5930
105	702	5927
106	709	5919
107	716	5918
108	722	5907
109	729	5903
110	735	5892
111	742	5884
112	748	5873
113	754	5863
114	761	5862
115	767	5849
116	773	5840
117	780	5831
118	786	5825
119	793	5820
120	800	5814
121	806	5805
122	813	5799
123	819	5790
124	826	5786
125	832	5776
126	840	5777
127	846	5769
128	853	5759
129	859	5752
130	867	5751
131	873	5747
132	880	5737
133	886	5730
134	892	5721
135	899	5713
136	906	5709
137	914	5709
138	920	5701
139	926	5693
140	933	5684
141	939	5679
142	946	5670
143	952	5662
144	960	5663
145	966	5651
146	972	5645
147	979	5638
148	987	5638
149	994	5635
150	1000	5626
151	1008	5629
152	1014	5618
153	1021	5609
154	1027	5601
155	1033	5592
156	1040	5588
157	1046	5577
158	1053	5571
159	1060	5566
160	1066	5558
161	1073	5552
162	1079	5541
163	1086	5537
164	1093	5534
165	1099	5526
166	1106	5518
167	1113	5514
168	1119	5503
169	1126	5498
170	1132	5490
171	1138	5482
172	1144	5472
173	1150	5462
174	1156	5453
175	1163	5445
176	1169	5439
177	1176	5432
178	1182	5422
179	1187	5411
180	1194	5404
181	1200	5396
182	1206	5386
183	1213	5381
184	1219	5373
185	1225	5362
186	1231	5355
187	1238	5347
188	1244	5341
189	1250	5332
190	1256	5323
191	1262	5314
192	1268	5304
193	1275	5297
194	1281	5291
195	1289	5288
196	1295	5279
197	1302	5277
198	1309	5269
199	1315	5260
200	1321	5252
201	1327	5244
202	1333	5234
203	1339	5227
204	1345	5217
205	1352	5213
206	1358	5203
207	1365	5197
208	1371	5189
209	1376	5179
210	1382	5170
211	1388	5161
212	1394	5153
213	1400	5144
214	1408	5141
215	1416	5140
216	1422	5132
217	1428	5123
218	1433	5112
219	1440	5105
220	1445	5095
221	1452	5089
222	1458	5080
223	1463	5070
224	1469	5061
225	1477	5061
226	1484	5053
227	1490	5045
228	1496	5037
229	1504	5035
230	1509	5026
231	1515	5018
232	1522	5010
233	1527	5001
234	1535	4998
235	1541	4990
236	1546	4980
237	1553	4972
238	1559	4964
239	1565	4957
240	1572	4951
241	1578	4942
242	1584	4934
243	1589	4925
244	1594	4915
245	1602	4910
246	1608	4903
247	1617	4903
248	1622	4893
249	1628	4884
250	1634	4877
251	1639	4867
252	1645	4859
253	1651	4851
254	1658	4844
255	1664	4837
256	1670	4829
257	1676	4821
258	1684	4819
259	1691	4814
260	1699	4811
261	1706	4806
262	1712	4799
263	1719	4793
264	1725	4786
265	1732	4779
266	1738	4772
267	1744	4764
268	1750	4757
269	1756	4749
270	1763	4743
271	1768	4734
272	1775	4729
273	1782	4723
274	1789	4716
275	1795	4710
276	1801	4703
277	1807	4694
278	1814	4687
279	1820	4680
280	1826	4672
281	1832	4664
282	1838	4656
283	1843	4648
284	1850	4642
285	1856	4634
286	1863	4630
287	1869	4621
288	1876	4615
289	1891	4630
290	1897	4622
291	1903	4615
292	1911	4611
293	1917	4604
294	1924	4599
295	1932	4595
296	1938	4589
297	1944	4580
298	1952	4576
299	1958	4569
300	1964	4562
301	1970	4554
302	1977	4547
303	1983	4540
304	1989	4534
305	1996	4527
306	2004	4525
307	2010	4517
308	2019	4516
309	2026	4511
310	2033	4505
311	2039	4498
312	2046	4491
313	2053	4486
314	2060	4480
315	2066	4473
316	2073	4467
317	2080	4462
318	2086	4454
319	2093	4449
320	2099	4441
321	2107	4436
322	2113	4430
323	2119	4422
324	2125	4414
325	2131	4407
326	2137	4399
327	2144	4394
328	2150	4386
329	2156	4378
330	2164	4374
331	2170	4366
332	2178	4362
333	2183	4354
334	2191	4350
335	2197	4342
336	2204	4337
337	2211	4330
338	2217	4324
339	2223	4316
340	2229	4309
341	2236	4303
342	2243	4297
343	2250	4291
344	2256	4284
345	2263	4278
346	2269	4271
347	2277	4266
348	2283	4259
349	2289	4251
350	2295	4244
351	2300	4235
352	2306	4228
353	2313	4221
354	2319	4214
355	2327	4209
356	2332	4201
357	2340	4197
358	2346	4190
359	2352	4182
360	2358	4175
361	2365	4168
362	2372	4162
363	2378	4155
364	2384	4148
365	2390	4140
366	2396	4132
367	2403	4127
368	2409	4120
369	2415	4112
370	2421	4105
371	2427	4097
372	2435	4094
373	2442	4088
374	2449	4082
375	2455	4075
376	2461	4068
377	2469	4064
378	2476	4057
379	2483	4051
380	2488	4043
381	2496	4038
382	2503	4033
383	2509	4025
384	2515	4018
385	2522	4012
386	2529	4006
387	2535	3998
388	2541	3992
389	2548	3985
390	2553	3977
391	2560	3970
392	2566	3964
393	2573	3958
394	2579	3951
395	2586	3945
396	2593	3938
397	2600	3933
398	2609	3930
399	2615	3922
400	2621	3915
401	2627	3908
402	2634	3903
403	2641	3896
404	2647	3888
405	2652	3881
406	2659	3874
407	2665	3867
408	2671	3860
409	2677	3853
410	2684	3847
411	2691	3841
412	2698	3835
413	2704	3827
414	2710	3820
415	2717	3814
416	2723	3807
417	2729	3800
418	2734	3792
419	2742	3786
420	2748	3780
421	2755	3774
422	2761	3766
423	2767	3759
424	2774	3754
425	2780	3746
426	2787	3740
427	2793	3733
428	2799	3726
429	2805	3718
430	2811	3711
431	2818	3705
432	2823	3697
433	2829	3690
434	2836	3684
435	2842	3676
436	2849	3670
437	2855	3663
438	2861	3656
439	2867	3649
440	2873	3642
441	2880	3636
442	2886	3629
443	2892	3622
444	2898	3615
445	2904	3607
446	2911	3601
447	2917	3594
448	2923	3587
449	2929	3580
450	2935	3573
451	2941	3566
452	2949	3561
453	2955	3554
454	2961	3547
455	2968	3541
456	2975	3535
457	2981	3528
458	2987	3520
459	2994	3515
460	3002	3510
461	3009	3503
462	3015	3497
463	3022	3491
464	3028	3484
465	3036	3479
466	3042	3472
467	3048	3465
468	3054	3458
469	3061	3452
470	3068	3445
471	3074	3438
472	3080	3431
473	3085	3424
474	3092	3417
475	3098	3410
476	3104	3404
477	3111	3397
478	3118	3392
479	3125	3386
480	3132	3379
481	3138	3372
482	3144	3366
483	3151	3359
484	3156	3351
485	3163	3345
486	3169	3338
487	3174	3331
488	3181	3325
489	3189	3319
490	3195	3312
491	3201	3305
492	3206	3297
493	3214	3292
494	3220	3285
495	3226	3278
496	3233	3272
497	3239	3265
498	3245	3258
499	3252	3252
500	3259	3246
501	3265	3239
502	3271	3232
503	3277	3225
504	3284	3219
505	3291	3213
506	3296	3205
507	3303	3199
508	3308	3191
509	3315	3185
510	3322	3179
511	3328	3172
512	3334	3165
513	3342	3160
514	3349	3153
515	3355	3147
516	3362	3141
517	3368	3134
518	3374	3127
519	3381	3121
520	3386	3113
521	3393	3107
522	3400	3100
523	3406	3094
524	3413	3088
525	3420	3082
526	3426	3075
527	3434	3070
528	3441	3063
529	3447	3057
530	3454	3051
531	3463	3047
532	3470	3040
533	3477	3035
534	3484	3028
535	3491	3022
536	3497	3015
537	3507	3011
538	3513	3005
539	3520	2999
540	3526	2992
541	3533	2985
542	3540	2979
543	3546	2972
544	3552	2966
545	3559	2959
546	3565	2953
547	3572	2946
548	3579	2940
549	3585	2933
550	3592	2927
551	3599	2921
552	3605	2914
553	3612	2908
554	3618	2901
